angulo:0|1m|-39|-60|-49|-49|-49 
angulo:0|2m|-41|-48|-49|-49|-49 
angulo:0|3m|-50|-50|-51|-51|-51 
angulo:0|4m|-55|-52|-58|-58|-58 
angulo:0|5m|-49|-49|-60|-60|-60 
angulo:0|6m|-64|-63|-60|-61|-61 
angulo:0|7m|-67|-67|-67|-67|-64 
angulo:0|8m|-61|-61|-61|-61|-61 
angulo:0|9m|-62|-62|-60|-64|-64 
angulo:0|10m|-65|-77|-64|-64|-73 
angulo:0|11m|-76|-68|-68|-68|-69 
angulo:0|12m|-65|-65|-67|-71|-71 
angulo:0|13m|-67|-67|-67|-67|-67 
angulo:0|14m|-74|-66|-66|-67|-67 
angulo:0|15m|-68|-68|-68|-72|-72 
angulo:0|16m|-73|-73|-73|-69|-69 
angulo:0|17m|-94|-94|-64|-64|-64 
angulo:0|18m|-73|-69|-69|-69|-69 
angulo:0|19m|-70|-70|-70|-63|-63 
angulo:0|20m|-68|-68|-65|-64|-64 
angulo:90|1m|-37|-36|-36|-38|-38 
angulo:90|2m|-39|-39|-41|-41|-41 
angulo:90|3m|-45|-78|-54|-54|-54 
angulo:90|4m|-53|-53|-52|-54|-55 
angulo:90|5m|-50|-50|-59|-48|-48 
angulo:90|6m|-53|-53|-56|-56|-56 
angulo:90|7m|-53|-55|-55|-52|-52 
angulo:90|8m|-54|-54|-54|-53|-53 
angulo:90|9m|-60|-58|-58|-61|-61 
angulo:90|10m|-61|-63|-63|-63|-63 
angulo:90|11m|-63|-63|-63|-63|-63 
angulo:90|12m|-63|-67|-67|-67|-67 
angulo:90|13m|-67|-67|-67|-67|-67 
angulo:90|14m|-71|-71|-71|-71|-71 
angulo:90|15m|-66|-66|-66|-66|-66 
angulo:90|16m|-63|-69|-69|-69|-66 
angulo:90|17m|-64|-62|-63|-63|-61 
angulo:90|18m|-65|-65|-65|-66|-66 
angulo:90|19m|-62|-62|-62|-62|-62 
angulo:90|20m|-66|-66|-72|-72|-72 
angulo:180|1m|-68|-68|-68|-59|-59 
angulo:180|2m|-59|-73|-72|-72|-72 
angulo:180|3m|-72|-72|-72|-72|-71 
angulo:180|4m|-71|-58|-62|-59|-59 
angulo:180|5m|-61|-61|-61|-73|-73 
angulo:180|6m|-61|-61|-61|-61|-61 
angulo:180|7m|-61|-61|-60|-60|-60 
angulo:180|8m|-70|-61|-61|-61|-63 
angulo:180|9m|-70|-68|-68|-68|-77 
angulo:180|10m|-77|-72|-71|-71|-71 
angulo:180|11m|-79|-74|-74|-74|-73 
angulo:180|12m|-68|-60|-62|-61|-61 
angulo:180|13m|-66|-66|-66|-64|-64 
angulo:180|14m|-68|-69|-69|-69|-67 
angulo:180|15m|-66|-72|-72|-72|-72 
angulo:180|16m|-71|-71|-67|-67|-67 
angulo:180|17m|-74|-74|-77|-77|-77 
angulo:180|18m|-70|-70|-70|-69|-69 
angulo:180|19m|-74|-74|-74|-71|-71 
angulo:180|20m|-71|-72|-71|-71|-76 
angulo:270|1m|-44|-44|-43|-43|-40 
angulo:270|2m|-39|-49|-47|-47|-47 
angulo:270|3m|-47|-47|-49|-49|-49 
angulo:270|4m|-48|-49|-47|-48|-48 
angulo:270|5m|-48|-52|-54|-54|-50 
angulo:270|6m|-53|-52|-52|-52|-52 
angulo:270|7m|-52|-52|-53|-53|-53 
angulo:270|8m|-59|-59|-59|-59|-59 
angulo:270|9m|-59|-59|-59|-59|-59 
angulo:270|10m|-59|-59|-59|-59|-59 
angulo:270|11m|-59|-59|-59|-59|-56 
angulo:270|12m|-54|-65|-65|-65|-65 
angulo:270|13m|-62|-60|-63|-52|-52 
angulo:270|14m|-53|-60|-60|-62|-62 
angulo:270|15m|-68|-58|-60|-61|-61 
angulo:270|16m|-60|-56|-58|-58|-58 
angulo:270|17m|-62|-62|-58|-58|-59 
angulo:270|18m|-60|-60|-56|-57|-57 
angulo:270|19m|-62|-76|-76|-76|-76 
angulo:270|20m|-74|-74|-74|-76|-71 
